months_as_customer,age,policy_number,policy_state,policy_csl,policy_deductible,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_relationship,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_year,policy_bind_date_year,policy_bind_date_month,policy_bind_date_day,incident_date_year,incident_date_month,incident_date_day,policy_to_incident_days,combined_text,fraud_reported
428,54,492745,IN,100/300,2000,1506.21,0,453407,MALE,Masters,unmarried,0,-24400,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NY,16,3,NO,1,0,NO,76560,12760,6380,57420,2009,2004,2,4,2015,1,22,4005,kayaking 4693 lincoln hwy riverwood nissan ultima,0
0,32,740518,OH,500/1000,1000,1377.04,0,441363,MALE,College,wife,61400,-41100,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,6,4,NO,1,1,NO,39720,6620,6620,26480,2002,2011,2,18,2015,1,17,1429,1529 elm ridge springfield accura mdx,0
47,37,962591,IN,250/500,2000,1241.97,0,430104,MALE,High School,not-in-family,75400,0,Parked Car,Rear Collision,Minor Damage,,NY,18,1,NO,1,0,NO,6700,670,670,5360,2011,2008,3,16,2015,1,5,2486,movie 8749 tree st hillsdale jeep wrangler,0
283,48,963680,OH,500/1000,1000,1474.66,0,446755,FEMALE,JD,husband,0,-46200,Parked Car,Rear Collision,Trivial Damage,Police,NY,9,1,NO,2,3,NO,6560,820,820,4920,2003,2003,1,4,2015,2,17,4427,sale paintball 6484 tree drive hillsdale volkswagen jetta,0
343,48,436126,IN,250/500,500,1451.54,3000000,473412,MALE,JD,husband,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,13,4,NO,2,3,NO,65070,7230,14460,43380,2003,2009,11,3,2015,1,8,1892,hiking 3167 2nd st riverwood mercedes c300,0
127,31,856153,OH,500/1000,500,1255.02,0,462250,MALE,Associate,not-in-family,58200,0,Parked Car,Rear Collision,Minor Damage,,SC,10,1,YES,1,0,NO,6160,560,1120,4480,1996,2002,7,9,2015,1,13,4571,sale reading 3028 5th st riverwood nissan ultima,0
166,38,414779,IL,100/300,2000,1588.55,0,435758,MALE,MD,unmarried,59600,-32100,Single Vehicle Collision,Side Collision,Total Loss,Other,WV,8,1,NO,0,0,NO,40320,5760,5760,28800,2001,1992,11,9,2015,1,9,8096,7740 mlk st columbus suburu impreza,0
267,43,369226,OH,250/500,500,1300.68,0,600418,MALE,PhD,unmarried,49000,0,Parked Car,Rear Collision,Minor Damage,,NC,0,1,NO,1,3,YES,1920,480,0,1440,2011,2002,2,10,2015,1,27,4734,sleeping 4431 rock st northbend chevrolet tahoe,0
106,31,165485,IL,500/1000,2000,1320.75,0,441491,FEMALE,JD,wife,54100,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,WV,20,3,NO,0,3,YES,45630,5070,5070,35490,2011,1998,2,12,2015,2,1,6198,6315 2nd lane springfield accura mdx,0
447,61,214618,OH,100/300,2000,1137.16,0,615561,FEMALE,High School,other-relative,0,-51000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,21,3,YES,1,2,YES,114920,17680,17680,79560,2006,1999,5,29,2015,2,15,5741,skydiving 5971 5th hwy springfield audi a3,0
